Input;Output
['shootingType | deadly_home_invasion', 'suspectGender | man', 'suspectNumber | one', 'suspectStatus | in_custody', 'accidentAddress | Fort_Wayne'];FORT WAYNE, Ind. (Fort Wayne’s NBC) – Fort Wayne Police say one man is in custody following a deadly home invasion on Thanksgiving, and police are now searching for a second person of interest.
['accidentAddress | home_in_the_6100_block_of_Downingtown_Drive', 'accidentDate | around_10:30_p.m._Thursday', 'victimNumber | Three', 'victimStatus | shot_dead'];Three people were found shot dead inside a home in the 6100 block of Downingtown Drive around 10:30 p.m. Thursday
['shootingType | shooting', 'victimNumber | Two', 'victimStatus | critically_wounded'];Two others were critically wounded in the shooting.
['suspectAge | 22', 'suspectName | Kameron_Joyner', 'suspectStatus | arrested. 'location | near_the_intersection_of_Rudisill_Boulevard_and_Clinton', 'datetime |early_Friday_morning', 'incidentType | traffic_stop' ];Kameron Joyner, 22, was arrested early Friday morning near the intersection of Rudisill Boulevard and Clinton during a traffic stop.
['suspectAge | 22-year-old', 'suspectName | Gerald_Pinkston', 'suspectStatus | person_of_interest'];Police need your help finding 22-year-old Gerald Pinkston as a person of interest.
['suspectDescription | black_hair_and_brown_eyes', 'suspectHeight | about_5’7?', 'suspectName | Pinkston', 'suspectWeight | about_145_pounds'];Pinkston stands about 5’7? tall, weighs about 145 pounds and has black hair and brown eyes.
['takenToHospital | True', 'victimGender | men', 'victimNumber | Two', 'victimNumber | two other', 'victimGender | men', 'victimStatus | remained_in_critical_condition',   'victimGender | woman', 'victimNumber | one,  'victimStatus | died_at_the_scene'];Two men and a woman died at the scene, two other men were rushed to the hospital, and at the time of this report, remained in critical condition.
['shootingType | home_invasion', 'suspectNumber | suspects', 'cause | drugs_money_or_something_else' ];We asked authorities if they believe the suspects in the “home invasion” were after drugs, money or something else.
['victimNumber | three', 'victimStatus | killed', 'location | Allen_County' , 'shootingType | shootings', 'victimName | unknown'];It’s not clear when the Allen County Coroner’s Office will release the cause of death and identification of the three people killed in the shootings.
['accidentAddress | house_party_in_Chicago_Heights', 'accidentDate | Friday_night', 'victimNumber | Four', 'victimStatus | shot'];Four people were shot at a house party in Chicago Heights Friday night, authorities reported.
['victimAge | 28-year-old', 'victimBased | Homewood', 'victimGender | woman', 'victimNumber | One', 'victimStatus | gunshot_wounds_to_her_chest_and_arm', 'victimDescription | found_lying_in_the_backyard'];One victim is a 28-year-old woman from Homewood whom Chicago Heights police found lying in the backyard with gunshot wounds to her chest and arm.
['hospitalName | St._James_Hospital', 'takenToHospital | True', 'victimGender | She', 'location | Chicago_Heights', 'datetime | Sunday_afternoon', 'victimStatus | unknown' ];She was transported to St. James Hospital in Chicago Heights and her condition was not available Sunday afternoon.
['hospitalName | St._James', 'shootingType | shooting', 'takenToHospital | True', 'victimNumber | three', 'victimStatus | checked_themselves_into_the_emergency_room'];Police later discovered that three more shooting victims had checked themselves into the emergency room at St. James.
['accidentAddress | Junction_and_Belmont_avenues', 'accidentDate | early_morning', 'shootingType | fight', 'victimNumber | multiple', 'victimStatus | injured'];Toledo police are investigating an early morning fight that injured multiple people at Junction and Belmont avenues.
['accidentAddress | parking_lot_near_an_after-hours_club', 'accidentDate | about_3:30_a.m._today', 'shootingType | shots_fired_and_a_large_disturbance'];Police were called at about 3:30 a.m. today to a parking lot near an after-hours club on the report of shots fired and a large disturbance.
['hospitalName | local' , 'takenToHospital | True', 'victimNumber | several'];He said several people from the large crowd were taken to local hospitals.
['shootingType | fight', 'cause | unknown'];Police do not yet know what started the fight, and are conducting interviews today as the investigation continues.
['accidentAddress | Jersey_City', 'accidentDate | Saturday_night', 'shootingType | shooting', 'victimGender | males', 'victimNumber | Three', 'victimStatus | wounded'];Three males were wounded in a Saturday night shooting in Jersey City, authorities said.
['accidentAddress | near_the_intersection_of_Ocean_and_Winfield_avenues', 'accidentDate | just_after_10_p.m.', 'victimNumber | three'];Police responded to a shots fired call near the intersection of Ocean and Winfield avenues just after 10 p.m. and found the three victims, Jersey City spokeswoman Ashley Manz said.
['hospitalName | Jersey_City_Medical_Center', 'takenToHospital | True', 'victimGender | males', 'victimNumber | Two', 'victimNumber | third', 'victimStatus | uncooperative_with_police_and_refused_medical_attention'];Two of the males became uncooperative with police and refused medical attention, while the third was transported to Jersey City Medical Center for treatment.
['victimStatus | injuries', 'victimStatus | not_life-threatening'];His injuries were not considered life-threatening, Manz said.
['victimNumber | third', 'victimStatus | not provided'];The condition of the third victim was not provided.
['shootingType | shooting', 'suspectStatus | no_arrests'];No arrests were made in connection to the shooting, which remains under investigation.
['accidentAddress | POMONA', 'accidentAddress | in_the_drive-through_of_a_Mexican_restaurant', 'accidentDate | Saturday', 'takenToHospital | True', 'victimGender | men', 'victimNumber | Four', 'victimStatus | in_stable_condition', 'shootingType | gunfire_erupted'];POMONA >> Four men were hospitalized in stable condition after gunfire erupted in the drive-through of a Mexican restaurant Saturday, police said.
['accidentAddress | Alberto’s_Mexican_Food,_1925_West_Holt_Ave.,_east_of_Fairplex_Drive', 'accidentDate | just_after_6:40_p.m.', 'shootingType | shooting'];The shooting took place just after 6:40 p.m. at Alberto’s Mexican Food, 1925 West Holt Ave., east of Fairplex Drive, Pomona police Sgt. Steve Congalton said in a written statement.
['accidentAddress | in_the_drive-through_of_the_restaurant', 'shootingType | shooting', 'suspectStatus | on_foot', 'victimStatus | inside a car', 'victimNumber | victims'];The victims were inside a car that was in the drive-through of the restaurant just before the shooting “An altercation took place between the occupants of the vehicle and suspect that were on foot,” Congalton said.
['shootingType | suspected_it_was_gang-related'];A motive in the shooting remained under investigation, though detectives suspected it was gang-related, Congalton said.
['hospitalName | area hospitals', 'takenToHospital | True', 'victimName | four', 'victimStatus | in_stable_condition'];All four wounded men were flown by helicopter to area hospitals, where they were listed in stable condition, police said.
['accidentAddress | Southeast_Portland', 'accidentDate | Saturday', 'numberOfRoundsFired | two_dozen', 'shootingType | shooting', 'victimNumber | four', 'victimStatus | injured', 'datetime | update_on_Monday'];More than two dozen bullets flew during a shooting that injured four people Saturday at a birthday party in Southeast Portland, police said in an update Monday.
['accidentAddress | Rosewood_Initiative_Community_Center_at_16126_S.E._Stark_St.', 'accidentDate | 10:41_p.m._Saturday', 'shootingType | shooting', 'victimNumber | three', 'victimStatus | wounded'];The injury toll increased after police originally thought three people were wounded from the shooting that rocked the Rosewood Initiative Community Center at 10:41 p.m. Saturday at 16126 S.E. Stark St.
['takenToHospital | True', 'victimAge | 15-year-old', 'victimNumber | three', 'victimStatus | injured',  'victimAge | ages_20,17,_and_19',  'victimGender | girl', 'victimGender | men', 'victimNumber | one', 'hospitalName |either_Portland_or_southwest_Washington_hospitals'];The injured include a 15-year-old girl taken to the hospital by ambulance and three men, ages 20, 17 and 19, who arrived at either Portland or southwest Washington hospitals in private cars.
"[""accidentAddress | Chicago's_West_Side"", 'accidentDate | in_the_middle_of_the_afternoon_Friday', 'victimNumber | five', 'accidentDate | the_middle_of_the_afternoon_Friday', 'victimStatus | at_least_one_fatally' ]";As many as five people were shot, at least one of them fatally, on Chicago's West Side in the middle of the afternoon Friday, according to police.
"[""accidentAddress | 5600_block_of_West_Lake_Street_in_the_city's_South_Austin_neighborhood"", 'accidentDate | just_after_1:30_p.m.', 'shootingType | shooting']";The shooting took place just after 1:30 p.m. in the 5600 block of West Lake Street in the city's South Austin neighborhood, authorities said.
['hospitalName | Loyola_University_Medical_Center', 'takenToHospital | True', 'victimNumber | five',  'victimNumber | one',  'victimStatus| pronounced_dead', 'shootingType | gunshot wounds'];Police said five people sustained gunshot wounds in the area, one of whom was transported to Loyola University Medical Center where they were pronounced dead.
['location | FORT_MYERS,_Fla.'];FORT MYERS, Fla.
['accidentAddress | Fort_Myers', 'shootingType | multiple_overnight_club_shootings', 'victimNumber | One', 'victimStatus | took_to_Facebook', 'datetime | early_Monday'];#NAAM?
['accidentAddress | outside_a_Fort_Myers_nightclub', 'accidentDate | late_Sunday_night', 'victimNumber | at_least_fifteen', 'victimNumber | two', 'victimStatus | shot', 'victimNumber | killed', 'shootingType | gunfire_erupted'];At least fifteen people were shot and two people were killed after gunfire erupted outside a Fort Myers nightclub on teen night late Sunday night.
['accidentAddress | North_Fairmount', 'accidentDate | Tuesday_evening', 'victimNumber | Four', 'victimStatus | shot', 'victimNumber | one', 'victimStatus | killed'];Four people were shot in North Fairmount Tuesday evening, one of them was killed.
['victimAge | 24', 'victimName | Jonathan_Austin'];Police have identified that victim as Jonathan Austin, 24.
['accidentAddress | in_the_middle_of_Baltimore_Ave._near_McHenry', 'accidentDate | Dec._8', 'shootingType | gun_battle', 'location | in_front_of_a_convenience_store'];Officers said it started as a gun battle in the middle of Baltimore Ave. near McHenry on Dec. 8, in front of a convenience store.
['victimName | Austin', 'victimStatus | dead'];Austin was pronounced dead at the scene.
['takenToHospital | True', 'victimGender | men', 'victimNumber | Three'];Three other men were sent to the hospital.
['accidentAddress | 6200_Block_of_Dix_Street,_Northeast', 'accidentDate | Friday,_March_6,_2020', 'shootingType | Assault_With_Intent_to_Kill', 'suspectNumber | three', 'suspectWeapon | Gun', 'incidentType | seek_the_public’s_assistance_in_identifying'];Detectives from the Metropolitan Police Department's Sixth District seek the public’s assistance in identifying three suspects in reference to an Assault With Intent to Kill (Gun) offense that occurred on Friday, March 6, 2020, in the 6200 Block of Dix Street, Northeast
['accidentDate | approximately_6:10_pm', 'shootingType | shooting'];At approximately 6:10 pm, members of the Sixth District responded to the listed location for the report of a shooting.
['victimAge_Group | adult', 'victimGender | males', 'victimNumber | four', 'victimStatus | non-life_threatening_gunshot_wounds'];Upon arrival, members located four adult males suffering from non-life threatening gunshot wounds.
['victimGender | female', 'victimGender | juvenile male', 'victimAge | 5_year-old', 'victimAge_Group | adult', 'victimStatus | non-life_threatening_gunshot_wounds', 'location | Prince_George's_County_Fire_Department_fire_station', 'incidentType | sought treatment'];A short time later, Prince George's County Fire Department reported to MPD that an adult female and a 5 year-old juvenile male sought treatment at one of their fire stations for non-life threatening gunshot wounds.
['takenToHospital | True', 'victimNumber | All', 'hospitalName | local'];All victims were transported to local hospitals for treatment.
"['accidentAddress | 200_block_of_West_89th_Street_in_Broadway-Manchester', 'accidentDate | Friday,_June_2', 'victimAge | 40-year-old', 'victimGender | man', ""victimName | Duane_Travon_O'Steen"", 'victimRace | black', 'victimStatus | shot_and_killed']";Duane Travon O'Steen, a 40-year-old black man, was shot and killed Friday, June 2 in the 200 block of West 89th Street in Broadway-Manchester, according to Los Angeles County coroner's records.
"['accidentDate | About_9:45_p.m.', ""victimName | O'Steen"", 'accidentAddress | in_front_of_a_home']";About 9:45 p.m., O'Steen was standing in front of a home with other people who were gathered to celebrate a birthday, said Los Angeles Police Det. Dave Garrido.
['suspectVehicle | sedan', 'accidentAddress |  eastbound_on_West_89th_Street', 'victimNumber | group', 'shootingType | began_firing' ];A sedan traveling eastbound on West 89th Street drove by the home, and a person inside began firing at the group, Garrido said.
"[""victimName | O'Steen"", 'victimNumber | along_three_others', 'victimStatus | wounded', 'victimGender | man', 'victimGender | woman']";O'Steen along with three others -- two women and a man -- were wounded.
"['takenToHospital | True', ""victimName | O'Steen"", 'victimStatus | pronounced_dead', 'datetime | 10:56_pm']";O'Steen was taken to a hospital, where he was pronounced dead at 10:56 p.m., according to coroner's records.
['victimNumber | three', 'victimStatus | injuries', 'victimStatus | expected_to_survive'];The other three victims were treated for their injuries and are expected to survive.
['shootingType | shooting', 'cause | ongoing_gang_fued_in_the_area'];Detectives believe the shooting may be related to an ongoing gang fued in the area, Garrido said.
['accidentAddress | South_Los_Angeles', 'accidentDate | Saturday', 'shootingType | gang-related', 'victimNumber | Five', 'victimStatus | hit_by_gunfire'];Five people were hit by gunfire in an apparent gang-related shooting Saturday in South Los Angeles, police said.
['accidentAddress | 200_block_of_East_119th_Street,_just_south_of_the_105_Freeway', 'accidentDate | about_5:50_p.m.', 'shootingType | shootings'];The shootings occurred about 5:50 p.m. in the 200 block of East 119th Street, just south of the 105 Freeway, said Los Angeles police Lt. Ray Garvin.
['shootingType | shootout', 'victimStatus | shot', 'victimOccupation | Colorado_sheriff's_deputy', victimStatus | 'bystander'];A bystander who was shot during a shootout that killed a Colorado sheriff's deputy told a friend that doctors don't know if he'll be able to walk again.
"['accidentAddress | Colorado_Springs', 'accidentDate | Monday', 'victimName | Thomas_Villanueva', 'victimStatus | shot', 'victimStatus | fell', ""victimStatus | couldn't_feel_his_legs""]";The Gazette reported that Thomas Villanueva told Diondre Dunn that he tried to run after being shot Monday in Colorado Springs but fell because he couldn't feel his legs.
['victimName | Villanueva', 'victimStatus | surgery_on_his_spinal_cord', 'datetime | Thursday'];His sister, Selina Dubbel, said Villanueva is expected to have surgery on his spinal cord Thursday.
['victimName | Villanueva', 'victimStatus | shot'];A GoFundMe account set up by friends says Villanueva had just picked up some food and was headed home when he was shot.
['suspectGender | man', 'victimName | Villanueva', 'victimStatus | shot'];Villanueva told Dunn on Facebook Messenger that he came across eight undercover officers and then a man came out of nowhere, saw him first, and shot him.
['accidentAddress | SPRINGFIELD,_Mo.', 'accidentAddress | house_party_in_west_Springfield', 'shootingType | shooting', 'victimNumber | eight', 'victimStatus | gunshot_wounds'];SPRINGFIELD, Mo. -- Police are investigating a shooting at a house party in west Springfield where eight people suffered gunshot wounds.
['accidentAddress | 1042_West_College_Street', 'accidentDate | Sunday_morning_around_3:30', 'victimNumber | several', 'victimStatus | shot'];Officers responded to 1042 West College Street Sunday morning around 3:30 regarding several people shot.
['victimNumber | two', 'victimStatus | on_the_floor'];Officers immediately found two victims on the floor.
['takenToHospital | True'];Emergency crews transported them to a hospital.
['hospitalName | Mercy_and_Cox_South_Hospitals', 'takenToHospital | True', 'victimNumber | more', 'victimStatus | came_in_for_treatment'];Officers later received word from both Mercy and Cox South Hospitals that more victims from that same party came in for treatment.
['victimNumber | five', 'victimNumber | three', 'victimGender | women', 'victimGender | men'];The victims include five women and three men.
['victimGender | woman', 'victimNumber | One', 'victimStatus | critical_condition'];One woman is in critical condition.
['victimNumber | None', 'victimStatus | life-threatening_injuries'];None of the other victims suffered life-threatening injuries.
['shootingType | shootings', 'suspectDescription | unknown'];Police say they do not have a suspect in the shootings identified at this time.
['suspectNumber | two', 'shootingType | shootings'];Based on evidence at the scene, they think there were at least two shooters involved.
['accidentAddress | Springfield', 'accidentDate | early_Sunday_morning', 'shootingNumber | second', 'shootingType | shooting', 'shootingType | shooting'];Officers say the second shooting location in Springfield early Sunday morning is in no way connected to this shooting.
['accidentAddress | Lower_East_Side', 'accidentDate | early_Sunday', 'victimNumber | three', 'victimStatus | shot', 'suspectNumber | one', 'suspectStatus | gunman', 'shootingType | opened_fire' ];Residents of the Lower East Side caught a glimpse of the neighborhood's gritty past early Sunday when a gunman opened fire and shot three people, authorities said.
['accidentAddress | corner_of_Ridge_and_Stanton_streets', 'accidentDate | just_before_6_a.m.', 'shootingType | bloodshed', 'suspectNumber | group', 'suspectGender | men'];The bloodshed occurred just before 6 a.m. during a fight between a group of men on the corner of Ridge and Stanton streets, not far from the Samuel Gompers Houses.
['numberOfRoundsFired | several', 'suspectWeapon | gun', 'victimNumber | trio', 'suspectStatus | speeding_off_down_Stanton'];The shooter pulled out a gun and began blasting several rounds at the trio before getting into a car and speeding off down Stanton.
['victimAge | 26', 'victimGender | men', 'victimName | José_Marine', 'victimNumber | One', 'victimStatus | wounded'];One of the wounded men, José Marine, 26, avoided more serious injuries when a bullet tore through his front pants pocket and struck his wallet, police sources said.
['victimGender | man', 'victimName | Jose_Marte', 'victimAge | 34', 'victimAge | 23', 'victimName | Oscar_Delgado', 'victimStatus | shot_once_in_the_left_leg', 'victimStatus | shot_multiple_times_in_the_abdomen_and_right_leg'];Another man, Jose Marte, 34, was shot once in the left leg, while Oscar Delgado, 23, was shot multiple times in the abdomen and right leg, according to the sources.
['hospitalName | Bellevue_Hospital', 'takenToHospital | True', 'victimStatus | stable_condition'];The victims were taken to Bellevue Hospital in stable condition.
['shootingType | bloodshed'];The bloodshed had some of the area's newer residents on edge.
['accidentAddress | EAST_CLEVELAND,_Ohio', 'accidentAddress | outside_an_East_Cleveland_bar', 'shootingType | deadly_shooting', 'suspectGender | men', 'suspectStatus | arrested', 'suspectNumber | one_of_three'];EAST CLEVELAND, Ohio - Detectives have arrested one of three men accused in a deadly shooting outside an East Cleveland bar, police said.
['accidentDate | Wednesday_afternoon', 'suspectAge | 19', 'suspectName | Marvin_C._Bryant', 'suspectStatus | turned_himself_in'];Marvin C. Bryant, 19, turned himself in Wednesday afternoon at the East Cleveland Police Department, police said.
['accidentAddress | outside_Club_Dew_Drop_on_Euclid_Avenue_at_Ivanhoe_Road', 'shootingType | shooting', 'suspectName | DeAundre_Smith', 'suspectName | Tony_Ricks', 'victimGender | man', 'victimStatus | dead', 'victimStatus | wounded', 'victimNumber | four', 'suspectAge | 19', 'suspectAge | 21', 'suspectStatus | sought_in_connection'];DeAundre Smith, 19, and Tony Ricks, 21, are also sought in connection with the shooting that left one man dead and four others wounded outside Club Dew Drop on Euclid Avenue at Ivanhoe Road, police said.
['accidentAddress | parking_lot_outside_the_club', 'accidentDate | early_Wednesday', 'victimAge | 20', 'victimBased | South_Euclid', 'victimName | Eric_Howard', 'victimStatus | died', 'shootingType | shot'];Eric Howard, 20, of South Euclid, died early Wednesday after being shot in a parking lot outside the club, the Cuyahoga County Medical Examiner's Office said.
['takenToHospital | True', 'victimNumber | four', 'victimStatus | treated_for_gunshot_wounds'];The four others victims were taken to local hospitals to be treated for gunshot wounds, police said.
['shootingType | shooting', 'suspectName | Bryant', 'suspectName | Smith', 'suspectName | Ricks'];Detectives on Wednesday obtained arrest warrants charging Bryant, Smith and Ricks in connection with the shooting.
['shootingType | shooting', 'incidentType | gang-related'];Investigators believe the shooting might have been gang-related, police said.
['shootingType | shooting', 'suspectNumber | several_men'];Detectives also released a Snapchat video showing several men who police said were connected to the shooting.
['suspectName | Bryant', 'suspectName | Smith', 'suspectName | Ricks', 'suspectStatus | no_previous_felony_cases', 'suspectStatus | one_previous_felony_case'];Cuyahoga County Common Pleas Court records show no previous felony cases against either Bryant or Smith, and just one earlier case involving Ricks.
['suspectName | Ricks', 'suspectStatus | pleaded_guilty', 'incidentType | receiving_stolen_property', 'incidentType | 'carrying_a_concealed_weapon'];In 2014, Ricks pleaded guilty to receiving stolen property and carrying a concealed weapon.
['accidentAddress | Eastern_District_of_Baltimore,_Maryland', 'accidentDate | Saturday_night', 'victimNumber | Several', 'victimStatus | shot'];Several people were shot in the Eastern District of Baltimore, Maryland Saturday night.
['victimNumber | at_least_eight', 'victimStatus | shot'];Police say at least eight people have been shot.
['victimStatus | non-life_threatening_injuries', 'victimNumber | All'];All have non-life threatening injuries.
['victimAge | three_years_old', 'victimNumber | one', 'shootingType | shooting'];According to police, one of the shooting victims was only three years old.
['suspectNumber | three'];According to Baltimore police, there are three suspects.
['suspectNumber | one', 'suspectStatus | had_a_shotgun_and_two_handguns'];The chief of media relations says one suspect had a shotgun and two had handguns.
['accidentAddress | area_of_Greenmount_Avenue_and_Preston_Street', 'accidentDate | Saturday_night'];According to the Baltimore Police Department's Twitter page, it happened in the area of Greenmount Avenue and Preston Street Saturday night.
['victimStatus | non-life_threatening_injuries', 'victimNumber | victims'];Police have not released any of the victims conditions but says all of their injuries are non-life threatening.
['accidentAddress | ST._LOUIS', 'victimNumber | Two', 'victimNumber | Two', 'victimStatus | dead', 'victimStatus | wounded', 'shootingType | shooting'];ST. LOUIS (AP) — Two men are dead and two others wounded after a shooting that St. Louis police say is connected to a traffic accident.
['accidentDate | Wednesday_afternoon', 'shootingType | shooting', 'incidentType | crashed_and_caught_fire', 'victimVehicle | SUV', 'accidentAddress | near_Interstate_70'];The St. Louis Post-Dispatch reported that an SUV crashed and caught fire near Interstate 70 shortly after the shooting Wednesday afternoon.
['victimGender | men', 'victimNumber | two', 'victimStatus | shot',  'victimStatus | pronounced_dead_at_the_scene'];Lt. Col. Gerald Leyshock said two men who had been shot were pronounced dead at the scene.
['victimAge | 20-year-old', 'victimAge | 24-year-old', 'victimName | Justin Kibble', 'victimName | Deshawn McGee', 'datetime | Thursday', 'victimStatus | identified'];They were identified Thursday as 20-year-old Justin Kibble and 24-year-old Deshawn McGee.
['victimGender | man', 'victimNumber | third', 'victimStatus | gunshot_wounds', 'victimStatus | in_critical_condition'];A third man was found in a different car with gunshot wounds and was in critical condition.
['shootingType | shooting', 'takenToHospital | True', 'victimNumber | fourth'];Police said a fourth victim arrived at a hospital shortly after the shooting.
['victimGender | men'];Investigators had not determined if the men were targeted or engaged in a gunbattle.
